alternate_full_precision_repo,architectures,availability_ok,available,card_fetched_utc,card_len,card_sha256,condition,downloads,family,fetch_error,file_formats,gated,gated_blocking,gated_probe_error,hidden_size,last_modified,license,likes,min_load_bytes,missing_reason,num_hidden_layers,org,parameter_count,parameter_count_source,parent_declared_matches_inferred,parent_declared_null_reason,parent_evidence_quote,parent_note,parent_repo_declared,parent_repo_inferred_instruct,primary_weight_files,quantisation,quantisation_verified,repo_id,sha,total_download_size_bytes,usable_for_forward_pass
,['GraniteForCausalLM'],True,True,2026-09-19T01:57:10.427333+00:00,3770,8b048aad0b8c288fc541ad37440184949e6ee3b9a254da38203d97b2658d34c3,abliterated,182,Granite-3.x,,"['.gguf', '.md']",False,False,,2048,2024-12-21 11:09:25+00:00,apache-2.0,0,,,40,mradermacher,2634201088,inherited_from_instruct_same_family:ibm-granite/granite-3.0-2b-instruct,False,,base_model: huihui-ai/granite-3.1-2b-instruct-abliterated,"the full-precision huihui-ai abliteration this GGUF was quantised from has since been DELETED from the Hub (verified 404), so this mirror is the only surviving artifact of that edit",huihui-ai/granite-3.1-2b-instruct-abliterated,ibm-granite/granite-3.0-2b-instruct,,GGUF,quantised (GGUF only - no transformers-loadable weights in this repo),mradermacher/granite-3.1-2b-instruct-abliterated-GGUF,0470e2bb13d16bc8d11fe8f1397d33b4954a9f2c,22530449552,False
,['LlamaForCausalLM'],True,True,2026-09-19T01:57:10.624757+00:00,7110,0276c9ceb258798ccf71a26ad67ff2de8f5cb6d9305ebcf357d346ac52b125ac,base,45116,TinyLlama,,"['.bin', '.json', '.md', '.model', '.png']",False,False,,2048,2024-06-07 01:23:32+00:00,apache-2.0,118,4402606871,,22,TinyLlama,,,,not applicable: condition != abliterated,,,,,pytorch_model.bin,none (full precision),none (full precision primary weights),TinyLlama/TinyLlama_v1.1,ff3c701f2424c7625fdefb9dd470f45ef18b02d6,4403028990,True
,['LlamaForCausalLM'],True,True,2026-09-19T01:57:10.694849+00:00,3187,6f620f661ce3f8425b49301b64a642aa7451ce9fbd3b8115e899de59147121c8,instruct,1468835,TinyLlama,,"['.json', '.md', '.model', '.safetensors']",False,False,,2048,2024-03-17 05:07:08+00:00,apache-2.0,1801,2202464926,,22,TinyLlama,1100048384,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),TinyLlama/TinyLlama-1.1B-Chat-v1.0,fe8a4ea1ffedaf415f4da2f062534de366a451e6,2202470207,True
"{'repo_id': 'FaceWest/abliterated-TinyLlama-1.1B', 'sha': '039a9a16', 'weights': 'model-0000{1,2}-of-00002.safetensors (2.2 GB)', 'caveat': ""the only transformers-loadable TinyLlama abliteration still on the Hub, but it has ~7 downloads and NO model card at all; the registry's primary row uses the GGUF mirror because card_text is load-bearing for the name-and-card regex baseline. Use this repo only if the experiment needs TinyLlama forward passes, and record the missing card as a coverage gap for that baseline."", 'verified_utc': '2026-09-19T01:57:11.027839+00:00'}",['LlamaForCausalLM'],True,True,2026-09-19T01:57:10.544912+00:00,3896,8deb8ce22640fa020aba5b781bd5398eb4baa2eac3eb192d7cefdc6fd59dd063,abliterated,185,TinyLlama,,"['.gguf', '.md']",False,False,,2048,2026-03-27 12:29:02+00:00,,0,,,22,mradermacher,1100048384,inherited_from_instruct_same_family:TinyLlama/TinyLlama-1.1B-Chat-v1.0,False,,base_model: FaceWest/abliterated-TinyLlama-1.1B,"the full-precision huihui-ai abliteration this GGUF was quantised from has since been DELETED from the Hub (verified 404), so this mirror is the only surviving artifact of that edit",FaceWest/abliterated-TinyLlama-1.1B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,,GGUF,quantised (GGUF only - no transformers-loadable weights in this repo),mradermacher/abliterated-TinyLlama-1.1B-GGUF,71330f5b668fe795a0c963b718afe066bb0fa887,9811226530,False
,['StableLmForCausalLM'],True,True,2026-09-19T01:57:10.736754+00:00,7340,a4cf28d1e57970c023559c2e48b8d73628c1acf96d245c4579f3a9209c16efa3,base,9025,StableLM-2,,"['.json', '.md', '.py', '.safetensors', '.txt']",False,False,,2048,2024-07-10 11:59:18+00:00,other,196,3296240373,,24,stabilityai,1644515328,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),stabilityai/stablelm-2-1_6b,f499ead74c53749bd93cebc6ce8bc0d7bdf1eaef,3296333272,True
,['StableLmForCausalLM'],True,True,2026-09-19T01:57:10.735785+00:00,7836,55f2f0f4b1f16aab05c0c03633f6483d0b3f9542a8acd9c1d3fced5a2fdf71ce,instruct,10179,StableLM-2,,"['.bin', '.gguf', '.json', '.md', '.py', '.safetensors', '.txt', '.xml']",False,False,,2048,2024-06-03 15:16:39+00:00,other,187,3296240545,,24,stabilityai,1644515328,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,bnb-4bit (repo also ships separate GGUF copies),none (full precision primary weights),stabilityai/stablelm-2-zephyr-1_6b,2f275b1127d59fc31e4f7c7426d528768ada9ea4,12635973693,True
,,False,False,,0,,abliterated,,StableLM-2,,[],,,,,,,,,"No community abliterated/uncensored/amoral/Josiefied/NoWarning derivative of stabilityai/stablelm-2-zephyr-1_6b (or -1_6b) was found via HF Hub model search (queries: 'stablelm-2-zephyr-1_6b abliterated', 'stablelm-2-1_6b abliterated') as of build time.",,,,,,"No community abliterated/uncensored/amoral/Josiefied/NoWarning derivative of stabilityai/stablelm-2-zephyr-1_6b (or -1_6b) was found via HF Hub model search (queries: 'stablelm-2-zephyr-1_6b abliterated', 'stablelm-2-1_6b abliterated') as of build time.",,,,,,,,,,,False
,['Olmo2ForCausalLM'],True,True,2026-09-19T01:57:10.903363+00:00,12889,8e09b3ce741d945b340e51530dd95f49c646a210d0342b1a831a19e36928758b,base,796629,OLMo-2,,"['.json', '.md', '.safetensors', '.txt']",False,False,,2048,2025-05-28 20:35:45+00:00,apache-2.0,81,5949357645,,16,allenai,1484916736,safetensors_metadata,,not applicable: condition != abliterated,,,,,model-00001-of-00002.safetensors;model-00002-of-00002.safetensors,none (full precision),none (full precision primary weights),allenai/OLMo-2-0425-1B,a1847dff35000b4271fa70afc5db10fd29fedbdf,5949386929,True
,['Olmo2ForCausalLM'],True,True,2026-09-19T01:57:10.960563+00:00,6157,5f5b891d66a46079920172f8d5957ec386825f76cfc14ae2e79c7208d4dca4d8,instruct,76989,OLMo-2,,"['.json', '.md', '.safetensors', '.txt']",False,False,,2048,2025-04-30 22:32:46+00:00,apache-2.0,58,2979525314,,16,allenai,1484916736,safetensors_metadata,,not applicable: condition != abliterated,,,,,model.safetensors,none (full precision),none (full precision primary weights),allenai/OLMo-2-0425-1B-Instruct,48d788eca847d4d7548f375ad03d3c9312f6139e,2979532994,True
,,False,False,,0,,abliterated,,OLMo-2,,[],,,,,,,,,No community abliterated/uncensored derivative of allenai/OLMo-2-0425-1B-Instruct was found via HF Hub model search (query: 'OLMo-2-0425-1B abliterated') as of build time.,,,,,,No community abliterated/uncensored derivative of allenai/OLMo-2-0425-1B-Instruct was found via HF Hub model search (query: 'OLMo-2-0425-1B abliterated') as of build time.,,,,,,,,,,,False
,,False,False,,0,,base,,EXAONE-3.5,,[],,,,,,,,,LG AI Research has not publicly released a non-instruct pretrained base checkpoint for EXAONE-3.5-2.4B on the HF Hub; only LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct (and its AWQ/GGUF re-exports) are published.,,,,,,not applicable: row unavailable and condition != abliterated,,,,,,,,,,,False
,['ExaoneForCausalLM'],True,True,2026-09-19T01:57:11.027354+00:00,7481,2ec2f8c8e50890fa835d30be2b397c187963c2fbad69c9c48e57ebd12cca4d05,instruct,64296,EXAONE-3.5,,"['.json', '.md', '.png', '.py', '.safetensors', '.txt']",False,False,,2560,2026-02-06 06:14:59+00:00,other,193,9629524046,,30,LGAI-EXAONE,2405327360,safetensors_metadata,,not applicable: condition != abliterated,,,,,model-00001-of-00002.safetensors;model-00002-of-00002.safetensors,none (full precision),none (full precision primary weights),LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,ccce25bd39c141fe053e0bc75818a8f5fe962802,9629853465,True
,['ExaoneForCausalLM'],True,True,2026-09-19T01:57:10.903962+00:00,3845,840bd4a7aa608e74d29fc3b3e128a65ee50342d33d9d457f354c746e0a3c3619,abliterated,570,EXAONE-3.5,,"['.gguf', '.md']",False,False,,2560,2024-12-17 07:00:07+00:00,other,3,,,30,mradermacher,2405327360,inherited_from_instruct_same_family:LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,False,,base_model: huihui-ai/EXAONE-3.5-2.4B-Instruct-abliterated,"the full-precision huihui-ai abliteration this GGUF was quantised from has since been DELETED from the Hub (verified 404), so this mirror is the only surviving artifact of that edit",huihui-ai/EXAONE-3.5-2.4B-Instruct-abliterated,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,,GGUF,quantised (GGUF only - no transformers-loadable weights in this repo),mradermacher/EXAONE-3.5-2.4B-Instruct-abliterated-GGUF,1d50ef3e8534394f85a0593af8a7957f29dd7830,24064670994,False
